gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
Pa06g2140,184.684411075824,23.6732670356021,4.78502939497073,4.94736083763326,7.52264485103991e-07,0.00016671641071398,UP
Pa04g0863,182.407479980369,23.6543349704671,4.78503305683899,4.94340053443502,7.67715273901886e-07,0.00016671641071398,UP
Pa08g1860,179.371571853095,23.6326638050359,4.78503808481284,4.93886639691401,7.85780234477205e-07,0.00016671641071398,UP
Pa10g1026,236.800833927358,23.6279889850942,4.78496474203362,4.93796511759714,7.89419583549478e-07,0.00016671641071398,UP
Pa10g1597,109.803239621952,-23.6172081501111,4.78523761455153,-4.93543059978736,7.99741154708619e-07,0.00016671641071398,Down
Pa10g2037,195.029541949425,-4.42664116645261,0.896226043735568,-4.93920166390377,7.84430561049331e-07,0.00016671641071398,Down
Pa11g0401,568.123115366715,-3.40806235667839,0.690405349579495,-4.93632090011199,7.96100771920558e-07,0.00016671641071398,Down
Pa09g0993,782.669518600468,3.02035807239952,0.611094500884987,4.9425384584961,7.71118875938787e-07,0.00016671641071398,UP
Pa08g1858,169.504870439455,23.5502647563547,4.78505566825758,4.92162816674822,8.58271656361637e-07,0.000172527929208267,UP
Pa05g3607,131.968941895236,-10.4923323662986,2.13170957870917,-4.92202712371922,8.56523391191959e-07,0.000172527929208267,Down
Pa09g1816,4883.11391533101,-2.2090450467181,0.448569251736022,-4.92464661402627,8.45129439663887e-07,0.000172527929208267,Down
Pa10g0187,10346.1345782923,-1.78221331272257,0.362021260986458,-4.92295206051237,8.52483417154297e-07,0.000172527929208267,Down
Pa05g0266,575.087980074112,-5.31196249625842,1.08039786779425,-4.91667250982581,8.802762812713e-07,0.000175385311473823,Down
Pa02g1228,903.041777095266,-2.78907076442209,0.569367872125159,-4.89853906580981,9.65518441055819e-07,0.000190681422648515,Down
Pa09g0356,3369.47835615011,2.00408330781988,0.409529144100229,4.89362805234051,9.89938515344983e-07,0.000193804136821539,UP
Pa08g2806,193.286150769767,23.3407091958163,4.78501625650997,4.87787458695914,1.07235068124748e-06,0.000208128476186257,UP
Pa02g3298,4630.23400500774,-1.76176086121951,0.361769477434316,-4.86984384009946,1.11686478450166e-06,0.000214915331267268,Down
Pa04g2229,141.169727918233,23.2932106526164,4.78511982344279,4.86784271075106,1.12823068023106e-06,0.000215262589277306,UP
Pa02g2368,291.953164906166,23.2507015685616,4.78492165346489,4.85916034836748,1.17884631166588e-06,0.000221516463596146,UP
Pa07g2648,137.121850415201,23.2502417513765,4.78513117282991,4.85885149468669,1.18068648980801e-06,0.000221516463596146,UP
